url,source_url,source_offset,source_length
https://react.etvbharat.com/hindi/bihar/business/corporate/skoda-auto-india-launches-suv-kushaq/na20210629161831955,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/06/CC-NEWS-20210629113609-00399.warc.gz,21334440.0,13399.0
https://www.mbl.is/sport/handbolti/2019/12/06/rumenar_afram_eftir_aesispennandi_leik/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/12/CC-NEWS-20191206141558-02174.warc.gz,630240982.0,16676.0
https://sport.postimees.ee/6849362/inglise-poksipromootor-ruiz-oli-nagu-elevant-portselanipoes,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/12/CC-NEWS-20191213122331-02256.warc.gz,164322997.0,23358.0
https://arabic.sputniknews.com/sport/201907071042188664-%D9%86%D9%8A%D9%85%D8%A7%D8%B1-%D8%B1%D9%88%D9%86%D8%A7%D9%84%D8%AF%D9%88-%D9%88%D8%AC%D9%87%D8%A7-%D8%A7%D9%84%D9%85%D8%B1%D8%A9-%D8%AD%D9%84%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D8%A7%D9%83%D9%85%D8%A9/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190707135551-00484.warc.gz,188663463.0,25117.0
https://www.fireengineering.com/firefighting/mayday-chicago-firefighter-falls-through-floor/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/03/CC-NEWS-20210319192108-00810.warc.gz,429537067.0,43051.0
https://www.ttgitalia.com/stories/tour_operator/157935_msc_magnifica_parte_da_genova_per_il_giro_del_mondo/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2020/01/CC-NEWS-20200107141155-00260.warc.gz,709286261.0,17816.0
http://www.reuters.com/article/us-cme-grains-hours-idUSBRE89S1CD20121029,,,
https://www.stern.de/panorama/erdbeben-erschuettert-fidschi-inseln-8218176.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180819022549-00261.warc.gz,283239260.0,37287.0
https://thepointsguy.com/news/james-bond-fans-can-now-buy-an-aston-martin-themed-helicopter/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2020/01/CC-NEWS-20200104012051-00222.warc.gz,903358423.0,34060.0
https://www.fxstreet.com/news/usd-jpy-upside-momentum-looks-dented-uob-202102090754,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/02/CC-NEWS-20210209083107-00132.warc.gz,472342668.0,35971.0
https://www.ncadvertiser.com/news/world/article/German-held-over-fake-bombs-in-bag-at-Swiss-14297378.php,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190812092630-00857.warc.gz,857478702.0,16245.0
https://dt.ua/international/bitva-za-demokratichnu-rumuniyu-285927_.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180817150127-00253.warc.gz,911535642.0,36828.0
https://www.myjournalcourier.com/news/article/NYC-mayor-names-panel-to-examine-structural-16047073.php,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/03/CC-NEWS-20210323170758-00871.warc.gz,874220204.0,18939.0
http://www.ystadsallehanda.se/simrishamn/ojamstallda-listor-pa-valsedlarna-vi-sitter-inte-med-mattstock/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180828224534-00327.warc.gz,80821279.0,24748.0
https://english.hotnews.ro/stiri-politics-23516791-leadership-romanian-social-democrats-changed-after-troubled-talks.htm,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/11/CC-NEWS-20191126234611-02061.warc.gz,722315423.0,16008.0
http://newsprom.ru/news/Obschestvo/247415.html,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190727100934-00692.warc.gz,635670987.0,10594.0
https://www.cmswire.com/digital-workplace/why-human-behavior-is-key-to-successful-change-management/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190710182622-00518.warc.gz,60135041.0,21183.0
"https://www.pcworld.pl/testy/Palit-GeForce-RTX-2070-Super-JetStream-recenzja,414340.html",https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190716163725-00577.warc.gz,866849010.0,115777.0
https://diariodeavisos.elespanol.com/2019/06/casi-11-000-canarios-donaron-sangre-por-primera-vez-durante-2018/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/06/CC-NEWS-20190614033555-00242.warc.gz,767156909.0,24033.0
http://www.reuters.com/article/markets-stocks-usa-idUSL2N0SB31T20141016,,,
http://www.reuters.com/article/markets-precious-idUSL2N0T220H20141112,,,
https://www.sozcu.com.tr/2021/egitim/egitim-sen-naksi-vakfin-meble-isbirliginin-iptali-icin-dava-acti-6338013/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2021/03/CC-NEWS-20210327090019-00945.warc.gz,256320350.0,60333.0
http://www.noticiasbarquisimeto.com/2018/08/26/especial-afp-cuan-grande-es-la-migracion-venezolana/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2018/08/CC-NEWS-20180826174544-00311.warc.gz,180565072.0,24101.0
https://www.vijesti-x.com/uzas-u-srbiji-grom-ubio-sedmogodisnjeg-djecaka/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/07/CC-NEWS-20190708212809-00497.warc.gz,229273115.0,11712.0
https://wyo4news.com/news/sweetwater-county-arrests-jan-09-jan-10-2020/,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2020/01/CC-NEWS-20200110143702-00305.warc.gz,10559099.0,24090.0
https://www.am.ee/node/7294,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/12/CC-NEWS-20191210223506-02221.warc.gz,727652822.0,10196.0
https://www.sabah.com.tr/gundem/2019/08/05/yeni-sigara-fiyatlari-ne-kadar-oldu-son-dakika-gelismesi-5-agustos-2019-zamli-sigara-fiyatlari,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190805154342-00787.warc.gz,988190837.0,18429.0
http://time.com/4808316/greg-abbott-texas-bathroom-bill-special-session/,,,
